"Time","GSR","BP","VAS"
1,3.1927,-19.718,-0.0193
2,3.8223,10.4242,-0.0229
3,2.7367,5.2685,-0.0221
4,2.8404,-2.8749,-0.0212
5,2.771,13.5681,-0.0201
6,2.3878,-2.4671,-0.019
7,2.2034,-6.9746,-0.0218
8,2.3485,12.25,-0.0214
9,1.6062,0.7399,-0.0251
10,0.8354,16.2785,-0.0218
11,-0.0593,0.0669,-0.0208
12,-0.1065,6.3614,-0.0225
13,-0.9486,2.7032,-0.0225
14,-1.5138,3.9457,-0.0182
15,-6.695,8.6656,-0.0221
16,-7.0542,-5.7203,-0.0216
17,-7.2924,14.3837,-0.0229
18,-7.1366,-10.6097,-0.022
19,-7.2775,-5.4622,-0.0219
20,-7.3155,9.2793,-0.0234
21,-7.3438,6.7115,-0.0218
22,-8.9165,17.4745,-0.0258
23,-6.7099,4.6312,-0.0214
24,-6.9218,3.6768,-0.0235
25,-8.9075,-8.0465,-0.0225
26,-7.8791,64.443,-0.0222
27,-7.6506,-23.9035,-0.0242
28,-7.8244,-48.1384,-0.0245
29,-8.0293,11.828,-0.0245
30,-8.491,-3.3512,-0.0207
31,-8.5062,14.9566,-0.0235
32,-8.0976,-9.9714,-0.0229
33,-8.0518,11.5485,-0.0213
34,-8.1946,-11.3589,-0.0231
35,-8.3662,3.1383,-0.0214
36,-8.4111,-5.411,-0.0205
37,-8.2177,3.4061,-0.0201
38,-8.0313,10.9317,-0.0207
39,-7.7768,-12.2447,-0.0195
40,-7.4839,14.2325,-0.0195
41,-7.1918,-13.601,-0.0207
42,-6.3401,1.0006,-0.0203
43,-6.9997,-0.8485,-0.0216
44,-1.9983,-9.9379,-0.0208
45,5.796,-2.7289,-0.0231
46,4.1556,167.695,-0.024
47,1.308,-23.1093,-0.0255
48,8.0145,112.2102,-0.0225
49,9.0115,-131.4929,-0.0253
50,8.7068,38.2722,-0.0259
51,6.6275,37.4441,-0.0221
52,9.3872,-97.1796,-0.0224
53,12.5478,16.5749,-0.0233
54,10.7241,-8.2347,-0.0255
55,7.2152,-1.0713,-0.0219
56,5.9801,7.4173,-0.0242
57,7.0391,-11.1097,-0.0353
58,9.8519,3.1436,-0.0352
59,10.8096,-9.2855,-0.012
60,9.9848,15.3895,-0.0199
61,8.3735,0.322,-0.0201
62,9.0593,-12.953,-0.0237
63,10.533,20.0075,-0.0241
64,11.4027,-17.0161,-0.0237
65,9.9226,11.3224,-0.0209
66,8.6543,-12.3615,-0.0263
67,8.0625,11.5604,-0.0217
68,8.6785,-6.859,-0.0214
69,8.3832,6.8164,-0.0226
70,8.9689,-6.1848,-0.0223
71,7.9709,9.134,-0.0217
72,6.3319,19.8373,-0.0218
73,0.9799,-22.7052,-0.0204
74,4.0016,13.587,-0.0212
75,5.1872,-13.3311,-0.0234
76,5.5149,11.3773,-0.0226
77,5.9871,-14.0764,-0.0215
78,6.4635,12.1677,-0.022
79,7.5194,-10.0338,-0.0239
80,8.4,12.8219,-0.0218
81,9.393,-12.5373,-0.0221
82,9.932,15.2776,-0.023
83,9.2425,-0.5936,-0.0281
84,8.8767,9.4848,-0.0215
85,9.2362,-20.317,-0.0143
86,9.2836,10.4052,-0.0278
87,10.0735,13.3848,-0.0193
88,10.4465,29.8426,-0.0261
89,10.9901,-65.9128,-0.0224
90,10.5135,-3.2413,-0.0232
91,10.6131,-0.7767,-0.0224
92,2.9628,-0.4456,-0.0228
93,-40.739,-0.5173,-0.0176
94,-40.96,-0.2753,-0.02
95,-40.96,-0.1077,-0.0189
96,-40.96,-0.7872,-0.0248
97,-40.96,6.606,-0.017
98,-40.96,-1.2471,-0.0237
99,-40.96,-5.0341,-0.0197
100,-40.96,-2.3248,-0.018
101,-40.96,0.3219,-0.0187
102,-40.96,-2.601,-0.0221
103,-9.3439,13.4545,-0.021
104,-12.7198,-11.7251,-0.0256
105,-12.2325,2.3575,-0.0242
106,-10.6105,-5.1564,-0.0209
107,-10.9147,4.3312,-0.0234
108,-11.3036,7.5959,-0.022
109,-10.5069,-1.528,-0.0217
110,-9.91,13.2849,-0.0182
111,-10.3001,0.7841,-0.0216
112,-12.9573,-4.7338,-0.021
113,-11.7908,5.8459,-0.0224
114,-10.9395,-4.8616,-0.0223
115,-11.1705,2.05,-0.0226
116,-11.5081,0.6647,-0.0216
117,-11.521,-4.4079,-0.021
118,-11.7473,5.3602,-0.0234
119,-11.9937,-5.608,-0.0213
120,15.5119,21.3682,-0.0224
121,15.3585,11.2997,-0.0234
122,-8.465,-6.4271,-0.0202
123,-6.0286,-14.7984,-0.0223
124,-6.8322,-1.1505,-0.0229
125,-12.5808,16.6414,-0.018
126,-13.1204,-5.7752,-0.0239
127,-20.6705,-5.4271,-0.0193
128,-16.1477,9.6628,-0.0209
129,7.3169,-9.6943,-0.0236
130,-6.1763,5.015,-0.0196
131,-14.2302,9.0351,-0.0223
132,-16.5241,21.9603,-0.0229
133,-15.0441,47.1443,-0.0212
134,-15.4124,21.2415,-0.0173
135,-14.225,-66.5983,-0.0247
136,-11.9071,-16.1703,-0.0207
137,-11.352,5.0714,-0.0226
138,-11.1139,-3.9665,-0.0211
139,-10.96,-1.4765,-0.0229
140,-10.4139,-2.5805,-0.0226
141,-10.3321,13.5562,-0.0227
142,-9.4698,3.2895,-0.0236
143,-9.3505,-3.3826,-0.0214
144,-10.1761,-4.5484,-0.0231
145,-10.4469,9.3849,-0.023
146,-10.4469,-3.572,-0.0223
147,-10.2954,-2.775,-0.0286
148,-10.1551,6.3415,-0.0239
149,-9.8048,0.4745,-0.0223
150,-9.7495,-4.2096,-0.0216
151,-10.0826,4.17,-0.0232
152,-10.3994,1.4795,-0.0216
153,-10.4703,4.3127,-0.0209
154,-10.5565,-5.4588,-0.0245
155,-10.424,0.1011,-0.0178
156,-9.9933,2.4986,-0.0238
157,-10.2175,-2.4294,-0.0199
158,-10.1662,-4.006,-0.0196
159,-9.707,3.7716,-0.0242
160,-9.8793,-3.0288,-0.0213
161,-9.9913,18.5032,-0.0203
162,-9.9461,-4.2838,-0.0233
163,-9.1482,-5.7037,-0.0246
164,-8.2525,-6.0363,-0.0225
165,-7.3423,5.125,-0.0219
166,-6.0415,-0.6175,-0.0192
167,-4.5737,2.7225,-0.0234
168,-2.9209,3.4705,-0.0211
169,-1.7812,-4.7748,-0.0238
170,-0.8347,6.3419,-0.0207
171,-0.8729,-5.1565,-0.0242
172,-0.706,3.8051,-0.0233
173,0.6176,5.3548,-0.0223
174,0.1816,-4.3741,-0.0228
175,-0.104,3.4696,-0.0219
176,0.8454,-2.8101,-0.0222
177,0.8705,4.9992,-0.0237
178,0.3997,1.696,-0.0237
179,0.1124,-4.6704,-0.021
180,0.876,6.179,-0.0227
181,1.3016,-7.6502,-0.0242
182,1.0459,10.2673,-0.0221
183,-0.0235,-5.6828,-0.0236
184,-0.83,2.8735,-0.0208
185,-0.3859,-2.1838,-0.0221
186,-0.514,2.6851,-0.0205
187,-0.7165,2.7227,-0.0227
188,-0.8359,-7.9935,-0.0218
189,-1.4069,4.338,-0.0235
190,-1.8372,-7.1322,-0.0239
191,-2.2018,5.4114,-0.0226
192,-2.5717,-6.3344,-0.0209
193,-2.8436,2.4939,-0.0126
194,-3.2844,4.1218,-0.0166
195,-3.631,-2.5172,-0.0245
196,-3.8345,5.6994,-0.0232
197,-4.1964,-8.4314,0.078
198,-4.5639,4.6748,0.0115
199,-4.7257,-5.4532,-0.0266
200,-4.9383,2.984,-0.0235
201,-4.9621,2.4216,-0.0234
202,-5.2206,-4.5042,-0.0233
203,-5.577,5.93,-0.024
204,-5.8288,-7.942,-0.0252
205,-6.0403,3.6786,-0.0244
206,-6.3997,-4.7513,-0.0247
207,-6.6473,5.7626,-0.0226
208,-6.8046,-6.4573,-0.0246
209,-6.862,6.785,-0.0221
210,-6.8787,2.0436,-0.0224
211,-6.4108,-5.9257,-0.0255
212,-6.3386,4.3483,-0.0254
213,-6.3725,3.5973,-0.0228
214,-6.342,-6.5955,-0.0222
215,-6.0352,-0.1171,-0.0247
216,-6.0402,6.6311,-0.0248
217,-5.7034,-7.8813,-0.0217
218,-4.9932,3.1073,-0.0247
219,-4.5658,4.9403,-0.0227
220,-4.6513,-13.2437,-0.0236
221,-5.0489,0.1281,-0.0227
222,-4.3866,-5.4251,-0.023
223,-3.1749,2.6199,-0.0216
224,-2.6412,3.4066,-0.0226
225,-1.6393,-10.1603,-0.0228
226,-0.8148,-0.7247,-0.0238
227,0.5099,1.3928,-0.0255
228,1.0345,-5.5525,-0.0231
229,0.5945,3.7229,-0.0232
230,0.0533,0.7637,-0.0231
231,0.568,1.3213,-0.0261
232,0.4319,3.7766,-0.0251
233,-0.034,-2.3571,-0.022
234,0.9266,3.5948,-0.0236
235,0.8049,-6.1217,-0.0241
236,1.0341,5.8632,-0.024
237,0.9985,5.4329,-0.0258
238,1.4733,-6.1663,-0.023
239,1.2899,-6.101,-0.021
240,1.1697,2.6069,-0.0239
241,0.6921,-3.2093,-0.0221
242,0.1791,38.5246,-0.0195
243,0.9752,-12.0175,-0.024
244,1.7925,-16.9916,-0.0235
245,2.0908,1.7237,-0.0204
246,2.6783,4.7874,-0.0199
247,3.7344,-6.5652,-0.023
248,4.6302,-1.6394,-0.0219
249,5.4668,-1.2493,-0.025
250,6.5818,-3.3492,-0.0196
251,7.5682,1.4737,-0.0269
252,6.8978,1.8296,-0.0211
253,6.0773,-2.6567,-0.0218
254,5.9948,2.2516,-0.0217
255,6.0779,0.7098,-0.024
256,6.5487,-0.8535,-0.0245
257,6.3191,1.281,-0.0219
258,6.7107,7.5074,-0.0221
259,6.7196,-10.1449,-0.0243
260,6.6886,3.9102,-0.0223
261,7.414,1.5741,-0.0236
262,7.5082,-1.9814,-0.024
263,6.9221,4.1675,-0.0234
264,6.3932,-6.2206,-0.0224
265,6.4529,3.2519,-0.0249
266,6.1997,-3.6407,-0.0245
267,6.1511,3.2798,-0.0279
268,6.3391,0.1125,-0.023
269,6.3962,0.9034,-0.0228
270,6.5698,-0.6241,-0.0241
271,6.5699,3.9297,-0.0216
272,6.8032,-1.5508,-0.0226
273,7.3921,-1.8195,-0.0211
274,8.2517,5.2212,-0.023
275,8.6527,-2.7207,-0.025
276,8.9436,-2.2867,-0.0205
277,8.9398,5.6022,-0.0234
278,9.1144,-4.7033,-0.0219
279,9.9178,2.7562,-0.0263
280,10.2976,-1.6627,-0.0219
281,10.6962,1.9395,-0.0258
282,10.8343,-0.2236,-0.0254
283,11.3638,1.9936,-0.0246
284,10.7364,1.6118,-0.0247
285,10.239,-4.9846,-0.024
286,11.2072,4.4464,-0.023
287,11.1199,-1.3334,-0.0235
288,10.291,-0.4547,-0.0235
289,10.5812,1.1167,-0.0239
290,10.2837,-6.5718,-0.0248
291,9.6818,2.1854,-0.0224
292,9.5548,4.4771,-0.0242
293,10.1797,-4.6355,-0.0248
294,10.4787,3.0887,-0.0255
295,9.3563,-4.6839,-0.0224
296,8.6621,1.4397,-0.0245
297,8.0963,-3.1303,-0.0225
298,7.8312,4.1851,-0.0216
299,7.6025,-1.9352,-0.0199
300,7.3417,-4.3611,-0.0234
301,7.0252,5.2237,-0.0235
302,6.645,-3.336,-0.022
303,6.3219,4.5113,-0.0224
304,5.9563,-0.8605,-0.0235
305,5.6451,4.6326,-0.0228
306,5.5549,-5.9193,-0.0208
307,5.6742,0.2515,-0.0236
308,5.3222,-2.945,-0.0243
309,4.8826,5.4383,-0.0223
310,4.5089,-5.0755,-0.024
311,4.2506,4.3404,-0.0227
312,3.9676,-7.1426,-0.0208
313,3.7277,4.8693,-0.0213
314,3.5557,-4.9409,-0.0228
315,3.3025,2.7649,-0.0213
316,3.0114,-4.6918,-0.0228
317,2.766,2.74,-0.024
318,2.583,-1.9047,-0.0216
319,2.4322,-4.7943,-0.0221
320,2.1794,4.9352,-0.0217
321,1.8792,-3.306,-0.0241
322,1.6099,2.7834,-0.0238
323,1.3626,-3.1237,-0.022
324,1.1178,5.3976,-0.0233
325,0.9543,-3.852,-0.0222
326,0.7583,4.019,-0.0246
327,0.6144,-3.2883,-0.0228
328,0.5654,6.1076,-0.0235
329,0.692,-2.6748,-0.021
330,0.4927,5.4885,-0.0248
331,0.3072,-1.7953,-0.0251
332,0.1578,-1.8033,-0.0234
333,-0.1092,3.3056,-0.0195
334,-0.3808,-6.6061,-0.0242
335,-0.659,5.6698,-0.0251
336,-0.9565,-4.4841,-0.0247
337,-1.2201,6.9629,-0.0234
338,-1.3864,-5.8864,-0.0237
339,-1.5816,5.4769,-0.024
340,-1.8075,-5.1497,-0.0241
341,-1.9954,7.7559,-0.0216
342,-2.1507,-6.8236,-0.0258
343,-2.3167,3.5477,-0.0244
344,-2.5312,-4.0745,-0.0243
345,-2.7516,0.2471,-0.0229
346,-2.9344,0.6764,-0.0212
347,-3.0393,6.5134,-0.0237
348,-3.2226,-5.6725,-0.0215
349,-3.3798,-1.5194,-0.0229
350,-3.4481,0.4826,-0.0241
351,-3.4687,0.066,-0.0246
352,-3.5621,-0.1808,-0.0248
353,-3.5585,3.9665,-0.0241
354,-3.6822,-4.3603,-0.0225
355,-3.885,5.066,-0.023
356,-4.0772,-6.6907,-0.0256
357,-4.1088,3.8815,-0.0285
358,-4.145,-7.3412,-0.0227
359,-4.2744,5.0463,-0.0254
360,-4.4455,-5.609,-0.0225
361,-4.6728,2.1554,-0.0218
362,-4.9299,-3.9379,-0.0236
363,-5.1203,5.6352,-0.0247
364,-4.9876,1.4052,-0.0213
365,-4.6146,-3.627,-0.0238
366,-4.5189,4.3064,-0.0197
367,-4.5947,-5.4572,-0.0229
368,-4.4658,4.1649,-0.0245
369,-4.623,-2.593,-0.0257
370,-4.8143,3.4625,-0.0231
371,-4.5819,-3.9836,-0.0242
372,-4.4472,3.5424,-0.0256
373,-4.7033,-5.8423,-0.0205
374,-4.9888,3.4359,-0.023
375,-5.0058,-1.5943,-0.0258
376,-4.3759,-7.5724,-0.0224
377,-3.7508,-1.7029,-0.024
378,-3.0678,28.6768,-0.0258
379,0.7259,-13.9234,-0.0239
380,0.6371,-2.2569,-0.0242
381,-0.7574,-4.6409,-0.0233
382,-1.0974,3.5653,-0.026
383,-1.1825,5.664,-0.0259
384,-1.6635,-1.206,-0.0216
385,-2.9809,-14.0206,-0.0241
386,-2.4068,6.6068,-0.0251
