"Time","GSR","BP","VAS"
1,0.0077,2.5446,-0.0284
2,0.1263,8.3598,-0.0294
3,-0.7351,-3.235,-0.0284
4,0.9721,0.3117,-0.0275
5,0.9438,6.649,-0.0268
6,1.6766,3.7485,-0.0288
7,1.34,2.4851,-0.0279
8,0.8465,2.402,-0.0246
9,0.555,2.9237,-0.0288
10,1.239,4.4229,-0.0256
11,1.3683,4.3562,-0.0257
12,0.6391,5.2162,-0.0283
13,0.3616,5.2944,-0.0269
14,1.4029,2.8374,-0.0274
15,2.4943,0.4587,-0.0305
16,2.692,2.8916,-0.0283
17,1.9077,1.5572,-0.0274
18,2.3169,2.361,-0.0251
19,2.69,3.2935,-0.0236
20,1.7537,3.0981,-0.0286
21,1.0878,4.6017,-0.0294
22,1.4436,5.972,-0.029
23,1.7857,5.5452,-0.0288
24,1.8985,3.5404,-0.0271
25,2.7511,3.1523,-0.028
26,2.7061,-0.3982,-0.0256
27,1.9659,2.7158,-0.0268
28,1.3858,4.3429,-0.0259
29,1.2785,2.1762,-0.0302
30,1.3914,2.6842,-0.0303
31,1.2074,1.8342,-0.0297
32,1.4762,3.8503,-0.0306
33,2.5679,0.4322,-0.0295
34,2.3362,1.2214,-0.0277
35,1.5957,2.153,-0.0291
36,1.6916,1.8848,-0.0311
37,2.6571,2.5978,-0.0263
38,2.3681,3.8351,-0.0285
39,1.9207,0.5428,-0.0273
40,2.0577,-0.4428,-0.0269
41,1.9893,3.3054,-0.0274
42,1.7412,2.8866,-0.0278
43,1.4757,-10.085,-0.0275
44,2.4857,4.0078,-0.0252
45,3.4148,1.9443,-0.0298
46,2.7134,1.2854,-0.0285
47,2.058,1.2479,-0.0186
48,1.9323,0.8043,-0.0343
49,1.8096,0.9336,0.0273
50,1.691,1.5277,-0.0155
51,2.6892,1.2419,-0.0289
52,2.8675,1.7159,-0.0264
53,2.7638,2.1886,-0.0272
54,2.927,1.3807,-0.0252
55,2.7515,3.0561,-0.0286
56,2.9165,2.5501,-0.0298
57,3.3984,3.4519,-0.0265
58,3.0715,-1.2085,-0.0241
59,2.6354,9.2727,-0.027
60,2.2931,-2.5526,-0.0289
61,2.6454,3.783,-0.0267
62,4.2057,1.2709,-0.0281
63,4.4903,-1.3104,-0.0279
64,4.4263,0.0148,-0.0292
65,3.6352,0.3788,-0.0256
66,3.7337,0.1291,-0.027
67,5.0254,2.048,-0.0272
68,4.5642,3.0807,-0.0298
69,4.2314,3.3243,-0.0296
70,4.5277,-3.259,-0.0263
71,3.3137,-2.8117,-0.0262
72,3.71,-0.4031,-0.0268
73,3.9135,8.456,-0.0277
74,3.4727,7.092,-0.0235
75,3.0076,1.8364,-0.0264
