"Pp.No","Time","Block"," Inaccurate","Fake","Illusory","Lies","Accurate","Truth","Actual","Real"," Acupuncture","Reiki","flower essence","Homeopathy","Surgery","Injections","Pills","Cream","Incorrect","BlockTime","STDEV","Std.Pooled","Av.Real","Av.Fake","Av.Conv","Av.Alt","ConvReal","ConvFake","AltReal","AltFake","MeanDiff","DIAT.Conv","DIAT.Alt"
7980,29/11/10 11:48,1,"NA",1025,1709,874,1103,847,1030,1171,"NA","NA","NA","NA","NA","NA","NA","NA",0,13366,288.98,"NA",1037.75,1202.67,"NA","NA","NA","NA","NA","NA",,"NA","NA"
7980,29/11/10 11:48,2,"NA","NA","NA","NA","NA","NA","NA","NA",1589,1069,"NA","NA",1213,1116.67,842.5,1327,0,13584,252.68,"NA","NA","NA",1124.79,1329,"NA","NA","NA","NA",,"NA","NA"
7980,29/11/10 11:48,3,"NA","NA",783.5,902,826,883.5,885.33,1398,1055,880.5,1001,1433.5,937,1508,792.5,963,0,35655,244.81,"NA",998.21,842.75,1050.13,1092.5,1024.17,"NA","NA",967.63,-362.08,"NA",-1.12
7980,29/11/10 11:48,4,"NA",1433,1092.5,703.5,937.67,"NA","NA",726,"NA","NA","NA","NA","NA","NA","NA","NA",0,18896,300.26,"NA",831.83,1076.33,"NA","NA","NA","NA","NA","NA",,"NA","NA"
7980,29/11/10 11:48,5,1918,2371,1051.67,1581.75,911,1347,1702.33,940.33,1961,1265,1543,968,1565,1463.5,1263,1391,2,62740,404.63,324.72,1225.17,1730.6,1420.63,1434.25,"NA",1575.61,1329.71,"NA",-551.45,-1.7,"NA"
2346,30/11/10 14:46,1,878,709.67,672,"NA","NA",578.25,993,"NA","NA","NA","NA","NA","NA","NA","NA","NA",0,9532,166.83,"NA",785.63,753.22,"NA","NA","NA","NA","NA","NA",,"NA","NA"
2346,30/11/10 14:46,2,"NA","NA","NA","NA","NA","NA","NA","NA",688.5,569,984,"NA",952,1204,1054.5,943.5,0,11916,216.38,"NA","NA","NA",1038.5,747.17,"NA","NA","NA","NA",,"NA","NA"
2346,30/11/10 14:46,3,795,523,1501,849,"NA","NA",1144,886.67,746,750.67,850,1599.67,653,623,842.25,1110,3,37798,315.57,"NA",1015.33,917,807.06,986.58,911.2,"NA","NA",951.79,256.95,"NA",1.01
2346,30/11/10 14:46,4,709,1301,513.5,666,1824,741.5,"NA",876,"NA","NA","NA","NA","NA","NA","NA","NA",1,15808,459.21,"NA",1147.17,797.38,"NA","NA","NA","NA","NA","NA",,"NA","NA"
2346,30/11/10 14:46,5,663,553,603,653,678.25,548.67,768.67,995,646,805.5,603.67,513,"NA",732,"NA",1223,3,26476,192.17,253.87,747.65,618,977.5,642.04,"NA",797.75,694.84,"NA",113.45,0.45,"NA"
