"Pp.No","Time","Block","StimName1","Correct1","Time1","StimName2","Correct2","Time2","StimName3","Correct3","Time3","StimName4","Correct4","Time4","StimName5","Correct5","Time5","StimName6","Correct6","Time6","StimName7","Correct7","Time7","StimName8","Correct8","Time8","StimName9","Correct9","Time9","StimName10","Correct10","Time10","StimName11","Correct11","Time11","StimName12","Correct12","Time12","StimName13","Correct13","Time13","StimName14","Correct14","Time14","StimName15","Correct15","Time15","StimName16","Correct16","Time16","StimName17","Correct17","Time17","StimName18","Correct18","Time18","StimName19","Correct19","Time19","StimName20","Correct20","Time20","StimName21","Correct21","Time21","StimName22","Correct22","Time22","StimName23","Correct23","Time23","StimName24","Correct24","Time24","StimName25","Correct25","Time25","StimName26","Correct26","Time26","StimName27","Correct27","Time27","StimName28","Correct28","Time28","StimName29","Correct29","Time29","StimName30","Correct30","Time30","StimName31","Correct31","Time31","StimName32","Correct32","Time32","StimName33","Correct33","Time33","StimName34","Correct34","Time34","StimName35","Correct35","Time35","StimName36","Correct36","Time36","BlockTime"
2236,,," Reiki",1,1674,"Cream",1,1155,"Pills",1,999,"Cream",1,725,"flower essence",1,1282,"Reiki",1,859,"flower essence",1,1090,"Cream",1,980,"Homeopathy",1,834,"flower essence",1,851,"Pills",1,1250,"flower essence",1,1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12820
2236,,,"Actual",1,2268,"Fake",1,1226,"Lies",1,1332,"Reiki",1,1812,"Inaccurate",1,1625,"Lies",1,771,"Homeopathy",1,1043,"Illusory",1,1383,"Acupuncture",1,1949,"Truth",1,2628,"Actual",1,1127,"Real",1,587,"flower essence",1,729,"Actual",1,1481,"Real",1,580,"Truth",1,619,"Real",1,477,"Homeopathy",1,956,"Acupuncture",1,1083,"Injections",1,1063,"Reiki",1,755,"Truth",1,747,"Pills",1,891,"flower essence",1,676,"Lies",1,903,"Pills",1,930,"Real",1,759,"Lies",1,885,"Cream",1,1005,"Fake",1,977,"Lies",1,667,"Reiki",1,757,"Inaccurate",1,763,"Cream",1,786,"Truth",1,866,"Cream",1,692,37798
2236,,," Accurate",1,1968,"Actual",1,765,"Real",1,680,"Actual",1,648,"Illusory",1,898,"Accurate",1,712,"Illusory",1,990,"Real",1,1149,"Inaccurate",1,760,"Accurate",1,694,"Fake",0,1628,"Truth",1,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12868
2236,,," Acupuncture",1,3720,"flower essence",1,1642,"Lies",1,1359,"Fake",1,866,"Reiki",1,1525,"Real",1,2487,"Pills",1,1601,"flower essence",1,1286,"Homeopathy",1,1142,"Reiki",1,1531,"Real",1,1772,"Inaccurate",1,1068,"Lies",1,696,"Fake",1,681,"Inaccurate",1,596,"Reiki",1,945,"flower essence",1,1605,"Surgery",1,892,"Injections",1,957,"Inaccurate",0,1547,"Real",1,1582,"Actual",0,4059,"Reiki",1,2548,"Truth",1,1312,"Actual",1,1964,"Homeopathy",1,2043,"Inaccurate",1,1358,"Cream",0,1353,"Truth",1,3342,"Injections",1,3222,"Illusory",1,2694,"Surgery",1,1375,"Cream",1,761,"Illusory",0,2634,"Homeopathy",1,1732,"Pills",1,1029,60926
7980,29/11/10 11:48,," Real",1,1536,"Lies",1,1503,"Real",1,1171,"Fake",1,1025,"Illusory",1,1709,"Accurate",1,1103,"Truth",1,923,"Lies",1,821,"Truth",1,850,"Actual",1,1030,"Lies",1,927,"Truth",1,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13366
7980,,," Homeopathy",1,1341,"Reiki",1,797,"Cream",1,1327,"Acupuncture",1,1589,"Injections",1,901,"Pills",1,643,"Reiki",1,1069,"Surgery",1,1654,"Injections",1,1508,"Surgery",1,772,"Pills",1,1042,"Injections",1,941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13584
7980,,," Inaccurate",1,1758,"Cream",1,946,"Acupuncture",1,1255,"Illusory",1,852,"Acupuncture",1,1448,"flower essence",1,1209,"Surgery",1,806,"flower essence",1,846,"Reiki",1,915,"Surgery",1,1227,"Truth",1,868,"flower essence",1,948,"Cream",1,1176,"Homeopathy",1,1425,"Lies",1,902,"Injections",1,1508,"Accurate",1,827,"Reiki",1,986,"Illusory",1,820,"Truth",1,899,"Real",1,1398,"Acupuncture",1,742,"Actual",1,874,"Pills",1,820,"Cream",1,750,"Pills",1,765,"Surgery",1,778,"Acupuncture",1,775,"Accurate",1,825,"Reiki",1,782,"Illusory",1,740,"Actual",1,887,"Homeopathy",1,1442,"Illusory",1,722,"Actual",1,895,"Reiki",1,839,35655
7980,,," Actual",0,8433,"Real",1,1173,"Illusory",1,1448,"Fake",1,1433,"Accurate",1,1245,"Lies",1,719,"Real",1,769,"Illusory",1,737,"Real",1,683,"Accurate",1,856,"Lies",1,688,"Accurate",1,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18896
7980,,," Pills",0,10348,"Lies",1,3621,"Actual",1,3775,"Real",1,896,"Injections",0,2066,"Truth",1,1347,"Inaccurate",1,2481,"Pills",1,1374,"Reiki",1,961,"Lies",1,1169,"Real",1,1093,"Fake",1,2371,"Real",1,832,"Reiki",1,1662,"Lies",1,1386,"Actual",1,958,"Accurate",1,911,"Cream",1,1510,"flower essence",1,1691,"Illusory",1,1485,"Lies",1,1042,"Homeopathy",1,1042,"Illusory",1,832,"Surgery",1,1565,"Reiki",1,1172,"Inaccurate",1,1355,"Illusory",1,838,"Lies",1,2730,"Acupuncture",0,1961,"flower essence",1,1374,"Cream",1,1272,"Injections",1,861,"Actual",1,1149,"Pills",1,1152,"flower essence",1,1564,"Homeopathy",1,894,62740
2346,30/11/10 14:46,," Lies",1,1359,"Accurate",1,1188,"Truth",1,544,"Fake",1,856,"Truth",1,662,"Actual",1,993,"Illusory",1,672,"Fake",1,806,"Truth",1,515,"Fake",1,467,"Inaccurate",1,878,"Truth",1,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9532
2346,,," Surgery",1,1841,"Reiki",1,993,"Pills",1,1427,"Cream",1,1060,"Injections",1,1204,"Pills",1,682,"flower essence",1,984,"Acupuncture",1,790,"Reiki",1,569,"Acupuncture",1,587,"Surgery",1,952,"Cream",1,827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11916
2346,,," Illusory",1,3253,"Lies",1,1171,"Homeopathy",0,2216,"Illusory",1,2346,"Actual",1,2134,"Cream",0,1144,"Homeopathy",1,1523,"Cream",1,893,"flower essence",1,1168,"Reiki",1,678,"Actual",1,955,"Pills",1,844,"flower essence",1,654,"Real",1,726,"flower essence",1,728,"Pills",1,630,"Reiki",1,659,"Cream",1,1293,"Actual",1,876,"Injections",1,618,"Fake",1,535,"Injections",1,628,"Illusory",1,1400,"Acupuncture",1,746,"Illusory",1,757,"Actual",1,611,"Fake",1,511,"Lies",1,849,"Surgery",1,653,"Homeopathy",1,1060,"Pills",1,661,"Real",1,1362,"Reiki",0,915,"Pills",1,1234,"Inaccurate",1,795,"Real",1,572,37798
2346,,," Illusory",1,6187,"Fake",1,859,"Accurate",1,1824,"Inaccurate",1,709,"Real",1,827,"Truth",1,885,"Fake",0,1301,"Lies",1,666,"Illusory",1,514,"Real",1,925,"Truth",1,598,"Illusory",1,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15808
2346,,," Actual",1,2501,"Real",1,1208,"Accurate",1,733,"Real",1,995,"Fake",1,512,"Inaccurate",1,589,"Accurate",1,508,"flower essence",1,759,"Actual",1,897,"Fake",1,558,"Accurate",1,474,"Fake",1,638,"Injections",0,944,"Actual",1,821,"Inaccurate",1,632,"Illusory",1,680,"Homeopathy",1,534,"Inaccurate",1,791,"Truth",1,564,"Injections",1,520,"Cream",0,1223,"Inaccurate",1,640,"Illusory",1,538,"Actual",1,588,"Fake",1,504,"Reiki",1,560,"Accurate",0,998,"Lies",1,653,"Reiki",1,1051,"Acupuncture",1,646,"flower essence",1,541,"Illusory",1,591,"Truth",1,577,"Homeopathy",1,492,"Truth",1,505,"flower essence",1,511,26476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block 5 Time: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
