,"GSR","BP","VAS"
177,18.0382,0.2273,-0.0252
178,17.2708,-2.3334,-0.0259
179,17.903,-1.7473,-0.0253
180,17.1115,4.1518,-0.025
181,16.3835,-1.6811,-0.0294
182,15.9805,-0.7586,-0.0249
183,16.0876,-0.5893,-0.0256
184,15.7326,-0.2164,-0.0247
185,15.4114,-1.0645,-0.025
186,15.5939,1.9671,-0.0244
187,15.5614,5.3378,-0.0274
188,15.3328,-2.2499,-0.024
189,15.3465,-1.78,-0.0277
190,15.2305,6.0413,-0.0245
191,15.1802,0.2565,-0.0275
192,15.1384,-3.4661,-0.0247
193,15.1499,8.749,-0.0257
194,15.079,-1.4119,-0.0262
195,16.4657,-3.1442,-0.022
196,16.7567,0.1768,-0.0254
197,15.5854,4.081,-0.0243
198,15.1557,-0.6091,-0.0237
199,15.1381,2.6292,-0.0282
200,14.934,1.7058,-0.0278
201,15.0579,-3.6419,-0.0262
202,15.2997,6.0924,-0.0272
203,15.3335,-1.575,-0.0217
204,16.9233,3.8621,-0.0249
205,16.3175,-4.8971,-0.0271
206,15.4827,-0.1266,-0.0249
207,16.007,5.6258,-0.0264
208,17.0425,-3.551,-0.0259
209,15.9511,5.776,-0.0263
210,16.8049,-2.5025,-0.028
211,16.7051,1.2415,-0.0276
212,16.6351,-2.5851,-0.0254
213,16.7881,2.6308,-0.0262
214,16.034,2.8268,-0.0268
215,15.7918,-1.3329,-0.0284
216,15.4168,3.4721,-0.0235
217,15.2576,-3.2247,-0.0307
218,15.1515,-1.8973,-0.0277
219,15.3323,-3.1298,-0.0258
220,16.3301,6.0656,-0.0284
221,15.6753,-1.4432,-0.0292
222,15.2126,-3.0147,-0.0278
223,15.0768,-1.9581,-0.0284
224,15.1724,9.1411,-0.0249
225,15.7814,-2.6397,-0.0281
226,15.361,-2.2905,-0.0259
227,14.9778,5.6127,-0.0275
228,14.9851,2.6473,-0.0267
229,15.2915,-2.5048,-0.0288
230,15.5565,-3.6688,-0.0269
231,16.5168,10.0185,-0.028
232,17.2558,-3.529,-0.0262
233,16.6454,-3.4893,-0.0271
234,16.0058,12.0318,-0.029
235,16.7524,-4.8858,-0.0272
236,17.6113,-5.3822,-0.026
237,17.2905,6.0999,-0.029
238,16.1546,-4.1593,-0.0265
239,15.5555,-0.2185,-0.0262
240,15.5935,3.5951,-0.0246
241,16.2978,1.8948,-0.0265
242,16.5216,-4.0218,-0.0253
243,18.3769,-1.4235,-0.024
244,17.4461,2.6392,-0.0268
245,16.9135,-2.5946,-0.026
246,18.113,8.4783,-0.0268
247,18.1792,-2.7487,-0.0247
248,17.1665,5.593,-0.0247
249,16.8169,-4.4834,-0.0252
250,18.1115,6.3785,-0.023
251,17.8295,-1.0948,-0.0246
252,18.0502,-1.7386,-0.0246
253,17.5175,-2.2603,-0.0248
254,17.7443,-2.2034,-0.0269
255,18.0621,-1.6958,-0.0257
256,19.1519,-0.8673,-0.0269
257,19.6134,2.8499,-0.0251
258,18.9823,4.4083,-0.0251
259,20.498,-1.787,-0.0237
260,20.6477,-2.8344,-0.027
261,20.1697,5.2495,-0.0244
262,20.4375,-2.555,-0.0258
263,19.6021,-0.1947,-0.0264
264,21.0057,5.6594,-0.0278
265,20.389,-4.3715,-0.0295
266,19.6862,-4.4625,-0.0287
267,20.1601,4.7016,-0.0268
268,21.1678,-1.4381,-0.0266
269,21.4301,5.391,-0.0291
270,20.2893,-3.4674,-0.0284
271,20.7308,-2.0444,-0.0274
272,20.5886,2.3008,-0.0288
273,20.785,2.5625,-0.0277
274,19.8918,-2.9232,-0.0274
275,20.6037,1.7966,-0.025
