"Time","GSR","BP","VAS"
177,7.1182,4.2918,-0.0238
178,7.054,-5.0433,-0.0244
179,7.3832,6.6358,-0.0234
180,7.8374,0.7953,-0.0277
181,7.9879,0.2166,-0.0238
182,7.688,4.0448,-0.0243
183,7.4914,-4.0505,-0.0258
184,7.2458,7.3338,-0.0279
185,7.1789,-9.12,-0.0282
186,7.1663,4.297,-0.0228
187,7.0701,-2.2722,-0.026
188,7.1164,4.133,-0.0237
189,7.3477,8.3867,-0.0238
190,7.6878,-11.7903,-0.0259
191,8.5673,4.5122,-0.0226
192,8.3077,-4.0311,-0.0274
193,7.7557,3.2851,-0.0209
194,8.0628,3.5329,-0.0246
195,8.8835,-6.9573,-0.0261
196,8.4791,5.2756,-0.0239
197,8.4719,-4.4062,-0.0248
198,8.9569,4.2112,-0.0243
199,8.5431,2.2097,-0.0201
200,8.7163,4.9484,-0.0254
201,9.9491,-10.986,-0.0233
202,9.5682,2.7726,-0.0241
203,9.4085,3.4388,-0.0226
204,9.2937,-7.838,-0.0233
205,8.9748,6.1446,-0.0245
206,8.8618,6.2892,-0.0276
207,8.7907,-9.777,-0.0232
208,8.5047,5.0926,-0.025
209,8.7266,3.725,-0.0257
210,9.3731,-1.8037,-0.0258
211,9.6074,5.1951,-0.023
212,10.5908,-5.5578,-0.0255
213,10.0502,6.3364,-0.0243
214,9.1381,-5.4627,-0.0228
215,9.0206,6.7867,-0.0251
216,9.6111,-5.975,-0.0216
217,10.1909,4.4122,-0.0207
218,10.6894,-5.9399,-0.022
219,10.0455,2.0558,-0.0237
220,9.9273,-3.2742,-0.0217
221,9.6797,6.9819,-0.0235
222,9.428,-2.3032,-0.0201
223,9.5949,5.8405,-0.0229
224,9.6912,-4.3975,-0.0231
225,9.9422,4.6324,-0.0245
226,9.9145,-5.6366,-0.0225
227,10.9711,2.1855,-0.0218
228,11.0645,-3.6093,-0.0254
229,10.1485,3.8191,-0.0224
230,10.201,-2.2312,-0.024
231,10.4644,5.6064,-0.0234
232,10.4926,0.6429,-0.0236
233,10.2546,3.2345,-0.0243
234,9.4534,-3.1058,-0.0234
235,9.2679,6.1176,-0.0231
236,9.2561,4.1772,-0.0224
237,9.8279,0.3438,-0.025
238,11.176,-0.534,-0.023
239,11.1647,-9.8462,-0.0249
240,10.8125,-1.6685,-0.0223
241,10.4108,-2.0161,-0.0214
242,10.1269,1.1504,-0.0255
243,9.9668,7.0617,-0.0231
244,9.8027,-1.7077,-0.0233
245,10.6035,1.2133,-0.0243
246,11.4598,4.3939,-0.0235
247,11.9925,1.5746,-0.0223
248,11.7949,-5.5952,-0.0213
249,10.7657,3.5121,-0.0223
250,10.1138,-3.3379,-0.0215
251,9.8559,5.735,-0.0232
252,9.7189,4.2347,-0.0254
253,9.6723,-6.4267,-0.0246
254,9.7623,3.5057,-0.0208
255,10.8972,1.9117,-0.0244
256,11.1292,8.0028,-0.0232
257,10.5023,-8.6853,-0.024
258,10.3578,4.6563,-0.0263
259,10.4501,3.2655,-0.0229
260,10.367,-3.2332,-0.0245
261,10.2767,2.8528,-0.0214
262,10.0368,-1.8478,-0.0211
263,9.8139,-0.6183,-0.0237
264,10.2868,1.198,-0.0256
265,10.6685,10.8371,-0.0217
266,11.2922,-8.5486,-0.0231
267,11.0206,2.6565,-0.0234
268,10.5411,-5.2051,-0.0251
269,10.3163,6.4315,-0.0247
270,10.2223,-6.7078,-0.0243
271,10.1394,4.1389,-0.0237
272,10.0877,6.8195,-0.0254
273,10.1318,-5.1335,-0.0231
274,11.2692,2.3296,-0.0228
275,12.1234,3.4041,-0.0244
276,11.5143,-10.4203,-0.0267
277,10.7665,2.4011,-0.0266
278,10.5044,-4.3964,-0.0253
279,10.4429,5.7613,-0.0234
280,10.2717,-2.9082,-0.0237
281,10.1076,5.7893,-0.0229
282,9.9405,-0.0392,-0.0223
283,10.2189,1.0203,-0.0243
284,10.8433,4.7402,-0.0231
285,11.0895,-3.7669,-0.0233
286,11.3559,3.2589,-0.0241
287,11.2459,0.3533,-0.0234
288,10.972,4.0728,-0.0253
289,11.3994,-2.0626,-0.025
290,11.755,8.1769,-0.0255
291,11.288,-6.693,-0.0262
292,11.3652,7.4763,-0.0239
293,12.244,-6.7103,-0.0249
294,12.011,-2.3144,-0.0244
295,11.739,-2.7335,-0.0246
296,12.6237,4.1549,-0.0239
297,12.7195,-5.5096,-0.0245
298,12.4325,-3.6105,-0.0243
299,12.8751,4.9178,-0.0222
300,12.8024,-3.0515,-0.0225
301,12.2621,7.3498,-0.0209
302,12.0014,-4.5429,-0.0223
303,11.6455,5.523,-0.0211
304,11.4408,-3.736,-0.0236
305,12.4457,6.0047,-0.0228
306,13.1275,-6.246,-0.0252
307,12.3263,4.2133,-0.0232
308,12.537,-4.9628,-0.0239
309,13.5776,-4.3523,-0.0244
310,12.886,1.8447,-0.0214
311,12.3901,-1.5688,-0.0235
312,12.5503,5.6696,-0.0245
313,12.6451,-0.803,-0.0219
314,12.4008,-0.9889,-0.0221
315,12.1348,2.6969,-0.0237
316,12.2983,1.4741,-0.0241
