"Time","GSR","BP","VAS"
1,6.2743,2.9524,-0.0263
2,21.9774,4.6519,-0.022
3,28.3841,3.2945,-0.0267
4,32.8605,3.5499,-0.0269
5,34.4217,3.9956,-0.0228
6,34.2726,4.564,-0.0247
7,35.104,4.0956,-0.0262
8,36.5376,3.241,-0.0274
9,37.9578,3.781,-0.0272
10,40.4226,3.8064,-0.0273
11,40.9588,3.5223,-0.0292
12,40.9588,2.9722,-0.0281
13,40.9579,2.8223,-0.0272
14,40.89,3.5658,-0.0283
15,40.8419,6.7872,-0.0315
16,-1.4181,2.299,-0.0252
17,-0.1625,2.92,-0.0248
18,0.7254,2.9359,-0.0225
19,1.7637,2.2677,-0.0226
20,2.647,1.6615,-0.0266
21,1.3748,2.4078,-0.0239
22,1.0717,2.6087,-0.0241
23,3.2211,2.1659,-0.023
24,2.9328,2.2655,-0.0257
25,2.3403,2.7576,-0.0219
26,1.1227,2.0744,-0.0234
27,3.5703,1.3409,-0.0208
28,5.6334,1.1857,-0.0235
29,6.4957,2.1829,-0.0249
30,5.7933,1.7411,-0.0249
31,5.4868,2.1779,-0.0275
32,4.5485,1.777,-0.0262
33,2.968,2.111,-0.0252
34,6.5613,1.8381,-0.0241
35,7.296,1.1848,-0.0241
36,8.911,1.6163,-0.0269
37,9.2485,2.3209,-0.0229
38,10.2516,1.8048,-0.0252
39,9.4964,1.6513,-0.0237
40,8.1046,0.9132,-0.0232
41,7.4918,1.5987,-0.024
42,8.1117,1.7959,-0.0271
43,10.6504,1.4792,-0.0242
44,10.2774,0.8171,-0.0228
45,8.4152,2.0707,-0.0248
46,7.7266,2.0125,-0.0231
47,8.2013,1.4906,-0.0255
48,8.085,0.5182,-0.0234
49,7.9241,1.2205,-0.0225
50,10.0608,1.7483,-0.0237
51,10.695,1.4294,-0.0226
52,8.8859,0.5985,-0.026
53,7.5295,1.416,-0.0235
54,6.8768,1.535,-0.0238
55,7.4255,1.2032,-0.024
56,8.4646,1.1462,-0.0225
57,9.7908,1.2598,-0.0253
58,10.3624,1.4487,-0.0246
59,9.8081,1.5225,-0.0259
60,8.616,0.7715,-0.0256
61,8.917,0.7465,-0.0261
62,10.257,1.2719,-0.0256
63,10.4254,1.1701,-0.0236
64,9.5358,1.1549,-0.0232
65,9.1983,0.5309,-0.0243
66,11.1376,1.2879,-0.0272
67,12.1681,1.6475,-0.0221
68,11.9323,0.9901,-0.0231
69,11.8372,2.1681,-0.0252
70,13.4601,-0.6479,-0.0252
71,14.7984,0.9093,-0.0233
72,13.6166,0.5954,-0.0232
73,13.1686,1.4021,-0.0247
74,13.5797,1.3924,-0.0202
75,13.5757,0.982,-0.0226
76,13.4119,0.8272,-0.024
77,14.4869,1.0456,-0.0233
78,15.2479,0.5554,-0.0229
79,13.8013,-0.0193,-0.0239
80,12.6343,0.6011,-0.0231
81,12.2687,1.1955,-0.0242
82,13.3309,1.0842,-0.0241
83,14.5288,0.8621,-0.0227
84,14.1228,0.8055,-0.0237
85,13.4129,0.4628,-0.0248
86,13.0007,0.7986,-0.0258
87,13.9786,1.1149,-0.0265
88,15.3596,1.1194,-0.0251
89,14.8187,0.9701,-0.0259
90,14.7935,0.108,-0.0261
91,15.0493,0.2142,-0.0239
92,14.2111,0.4748,-0.0248
93,14.2338,0.828,-0.0263
94,13.51,0.8958,-0.0238
95,12.6117,0.5093,-0.0247
96,11.8248,0.261,-0.0243
97,11.2979,0.7106,-0.0251
98,11.4927,0.8312,-0.0242
99,12.9091,0.6933,-0.0231
100,13.2765,1.0118,-0.0257
101,13.0945,0.1191,-0.0245
102,14.786,1.5069,-0.0244
103,15.3843,0.37,-0.0226
104,13.5587,0.0508,-0.0222
105,12.4413,0.3521,-0.0211
106,12.2187,0.2492,-0.0248
107,12.3357,0.704,-0.0221
108,13.0264,1.0073,-0.0217
109,13.329,-0.0795,-0.0253
110,12.7059,-0.1725,-0.023
111,13.5024,0.8385,-0.0244
112,14.7839,0.9923,-0.0228
113,14.4331,0.6468,-0.0248
114,13.7917,-0.1231,-0.0268
115,12.8587,0.0,-0.0238
116,12.2144,0.8558,-0.0205
117,12.0655,0.8072,-0.0243
118,12.095,0.7806,-0.022
119,12.0112,0.4597,-0.0245
120,11.8548,-0.0204,-0.0223
121,13.8476,-0.7237,-0.0231
122,16.547,0.4269,-0.0253
123,14.1804,0.5282,-0.0235
124,12.7324,0.5679,-0.0222
125,13.8251,1.102,-0.0246
126,13.8897,0.8844,-0.0234
127,13.6107,0.6763,-0.0247
128,13.7052,0.3932,-0.0242
129,13.5041,0.3802,-0.0245
130,13.9023,-0.2147,-0.0245
131,14.0741,0.0903,-0.0242
132,13.7379,0.4039,-0.0269
133,13.6861,0.3995,-0.0264
134,13.7618,-0.1287,-0.0236
135,13.5908,-0.1791,-0.0246
136,13.5141,0.65,-0.0229
137,13.557,0.7464,-0.0242
138,13.5034,0.7335,-0.0231
139,13.3625,0.5936,-0.0224
140,13.3014,0.2657,-0.0228
141,13.5067,-0.0793,-0.0229
142,13.977,0.296,-0.0244
143,14.0445,1.2402,-0.0266
144,15.1829,0.2066,-0.0237
145,15.3672,-0.3286,-0.023
146,13.6643,-0.1509,-0.0223
147,12.4133,0.4544,-0.0215
148,11.8032,0.4663,-0.0233
149,11.9964,0.4119,-0.0268
150,12.4341,-0.2265,-0.0236
151,12.5815,-0.7117,-0.0269
152,13.4061,1.0555,-0.0234
153,15.1666,-0.993,-0.0249
154,14.5855,7.7104,-0.0243
155,11.1368,0.2594,-0.0232
156,10.5822,0.789,-0.0223
157,5.6968,1.0152,-0.0233
158,-1.146,0.6037,-0.0216
159,4.5076,0.1456,-0.0226
160,6.4289,0.5969,-0.0241
161,7.8243,-0.0874,-0.0265
162,8.7423,1.6095,-0.0256
163,9.7816,-0.705,-0.0245
164,11.0756,-0.4089,-0.0255
165,12.7029,0.6322,-0.0269
166,12.4002,0.3949,-0.0241
167,11.252,-0.7725,-0.0289
168,10.4599,-0.1558,-0.0285
169,10.1637,0.8112,-0.0242
170,11.1378,-0.1016,-0.0254
171,12.2075,-0.256,-0.0241
172,12.0081,-0.99,-0.0251
173,11.4368,0.5839,-0.0242
174,11.316,1.6903,-0.0224
175,11.8143,-0.0879,-0.0283
176,12.0158,0.0648,-0.0247
177,13.3389,-0.2448,-0.026
178,14.7575,-0.0735,-0.0215
179,13.561,0.675,-0.0274
180,12.9463,-0.7456,-0.0247
181,13.4586,-0.3014,-0.0247
182,13.9395,0.1852,-0.0222
183,15.1814,1.0406,-0.0267
184,15.417,0.0936,-0.0248
185,14.8107,-0.0197,-0.023
186,14.1398,-0.4714,-0.0264
187,14.1199,-0.4805,-0.024
188,14.4298,0.3288,-0.0266
189,15.677,0.9673,-0.023
190,16.7389,0.0415,-0.0255
191,16.161,0.5953,-0.0264
192,15.1778,-0.1238,-0.0254
193,14.6921,-1.1962,-0.0242
194,14.9443,-0.1225,-0.0255
195,15.2495,-0.4227,-0.0251
196,15.0622,-0.1066,-0.0247
197,14.8881,0.3668,-0.0254
198,14.9427,0.2206,-0.0253
199,14.7098,0.5447,-0.0252
200,14.4455,1.1715,-0.0282
201,14.2156,-0.6499,-0.0256
202,14.752,-0.4669,-0.0254
203,15.9713,-1.1693,-0.0246
204,15.3849,0.094,-0.0242
205,14.2437,0.3771,-0.0237
206,13.6917,0.151,-0.0253
207,13.5708,-0.632,-0.022
208,14.2894,-0.0733,-0.0278
209,14.741,0.425,-0.0241
210,13.873,-0.0428,-0.0235
211,13.0697,-0.4719,-0.0228
212,12.5722,0.1237,-0.0248
213,12.4313,0.3342,-0.022
214,12.6373,-0.0607,-0.0238
215,12.9904,-0.4757,-0.025
216,13.4869,-0.2605,-0.0262
217,13.9695,0.0315,-0.0268
218,13.6428,0.016,-0.0253
219,13.0361,-0.3193,-0.0242
220,13.1579,0.0137,-0.0242
221,14.5402,0.2944,-0.0257
222,15.3895,0.8869,-0.0249
223,14.5503,-0.16,-0.0287
224,13.4246,-0.3308,-0.0238
225,12.8564,0.3684,-0.0233
226,12.5864,0.3035,-0.0257
227,12.9491,0.102,-0.0227
228,15.4489,-0.7153,-0.0252
229,16.4544,-0.5719,-0.024
230,15.0813,-0.0475,-0.0255
231,14.0669,1.6809,-0.0242
232,13.2895,1.0449,-0.027
233,12.7782,-0.0266,-0.0255
234,14.1582,-0.5953,-0.0254
235,14.5954,-0.5498,-0.0258
236,15.674,0.7396,-0.0248
237,15.9722,-0.2116,-0.0274
238,15.8205,-0.1851,-0.0252
239,16.5905,-0.5878,-0.0263
240,16.3747,0.1794,-0.0274
241,16.4192,0.448,-0.0269
242,17.6174,0.1946,-0.0273
243,17.5857,-0.0326,-0.0262
244,17.0448,-0.5009,-0.0246
245,16.5571,-0.2836,-0.0289
246,16.6146,0.0767,-0.0274
247,16.8132,0.6652,-0.0252
248,16.8052,0.3474,-0.0254
249,16.7034,0.1305,-0.0228
250,16.6186,-0.3896,-0.0243
251,16.6582,-0.6067,-0.0275
252,16.7286,-0.5456,-0.0265
253,16.7128,0.19,-0.0246
254,16.6413,-0.436,-0.027
255,16.5917,-0.528,-0.0258
256,16.5065,0.2309,-0.0248
257,16.4983,0.2166,-0.0265
258,16.7867,0.5268,-0.0254
259,17.8857,-0.3066,-0.0248
260,19.4401,-0.5273,-0.0254
261,19.3696,0.0845,-0.0232
262,17.5466,-0.3946,-0.0227
263,16.4892,0.4717,-0.0242
264,15.9843,0.4799,-0.0245
265,15.6912,0.6199,-0.0255
266,15.3852,-0.1864,-0.0238
267,15.1695,-1.6503,-0.0222
268,15.5545,-0.5976,-0.0252
269,16.7625,0.5646,-0.0246
270,17.5618,0.1163,-0.0236
271,17.3034,0.3684,-0.0233
272,16.6522,-0.1068,-0.0251
273,17.2328,0.3159,-0.0251
274,18.0093,-0.9171,-0.0252
275,17.4,-0.7868,-0.0222
276,16.5332,-0.2231,-0.0235
277,16.3464,-0.4149,-0.0234
278,16.6384,-1.4723,-0.0258
279,16.4598,-0.7132,-0.0251
280,16.2501,-0.1292,-0.0235
281,17.572,-0.0137,-0.0227
282,19.2192,-0.0946,-0.0235
283,18.0902,0.5639,-0.0229
284,16.984,-0.1868,-0.0252
285,16.3071,-0.0818,-0.0271
286,16.0414,0.3784,-0.0287
287,16.1008,-0.2255,-0.0244
288,16.9791,-0.1136,-0.0242
289,17.6351,0.2853,-0.025
290,17.4418,0.5962,-0.0251
291,17.0118,0.4263,-0.025
292,16.6935,-0.4669,-0.0266
293,17.625,-0.1027,-0.0216
294,19.1789,-1.175,-0.0275
295,18.7094,-0.0622,-0.0276
296,18.1691,-0.5882,-0.0311
297,18.1507,0.6291,-0.0244
298,17.6011,0.1414,-0.0258
299,17.0126,0.2065,-0.0231
300,16.7398,0.0645,-0.0264
301,16.7712,0.0692,-0.025
302,16.7322,0.084,-0.0239
303,16.6587,-0.1708,-0.0235
304,16.6207,0.0447,-0.0264
305,16.5629,-1.9889,-0.0229
306,16.535,0.2815,-0.0181
307,16.701,0.1892,-0.0247
308,18.1884,-0.3303,-0.0238
309,19.2269,-0.2425,-0.0262
310,18.5454,-1.2438,-0.0246
311,17.6049,-0.7036,-0.025
312,17.161,-0.4465,-0.0273
313,16.9549,-0.1519,-0.0261
314,16.5848,-0.0159,-0.0273
315,16.6954,0.0538,-0.0251
316,18.3498,0.1914,-0.0274
317,18.7226,-0.2675,-0.0257
318,17.7316,0.4117,-0.026
319,17.1638,-0.5485,-0.0263
320,16.875,-0.5406,-0.0268
321,16.7631,0.011,-0.0271
322,17.3663,0.3437,-0.025
323,18.4773,-0.005,-0.0256
324,19.4214,-0.0743,-0.0283
325,20.1976,-0.276,-0.0226
326,20.1654,-0.2578,-0.0256
327,19.6091,-0.0531,-0.025
328,19.2204,-0.5945,-0.0227
329,18.9395,-0.8235,-0.0246
330,18.8984,-0.1302,-0.0273
331,20.0691,0.0129,-0.0277
332,21.556,-0.4388,-0.0276
333,21.6087,-0.9052,-0.0242
334,21.4711,-0.6034,-0.0274
335,21.0619,-0.1272,-0.0242
336,21.1935,-0.2193,-0.0253
337,22.4322,-0.4579,-0.0282
338,22.7657,0.1028,-0.0243
339,22.292,-0.0255,-0.0269
340,21.6487,-0.4281,-0.0288
341,21.2406,-0.1803,-0.0287
342,21.0378,-0.1451,-0.0251
343,20.9132,-0.1183,-0.0266
344,20.8511,-0.7697,-0.0271
345,21.4885,-0.2734,-0.0226
346,22.7574,-0.2354,-0.026
347,22.6496,-0.5194,-0.0263
348,22.0276,-0.414,-0.0263
349,21.44,0.3205,-0.0239
350,21.2381,0.5608,-0.0249
351,22.6936,-0.0275,-0.0259
352,24.1206,-0.9391,-0.0234
353,22.9838,-0.5185,-0.0257
354,22.0807,-0.0197,-0.024
355,22.1143,-0.278,-0.0259
356,21.8594,-0.8719,-0.0254
357,22.0634,0.0453,-0.0273
358,22.4029,-0.4971,-0.0234
359,23.5718,0.1084,-0.0238
360,24.4192,0.381,-0.0258
361,24.2063,0.2613,-0.0236
362,23.8367,-0.2336,-0.0238
363,23.6976,-0.73,-0.0242
364,23.3084,-0.5002,-0.0236
365,22.8344,-0.4204,-0.0253
366,22.9679,-0.2682,-0.0253
367,25.0271,0.354,-0.0286
368,25.659,-0.124,-0.0278
369,24.7348,-0.8382,-0.0244
370,24.0203,-0.534,-0.0282
371,24.4019,-0.6369,-0.0261
372,25.386,-0.0417,-0.0261
373,25.048,0.5006,-0.0266
374,24.6249,-0.1743,-0.0248
