Participant,Age,Gender,Course,Occcupation,Prime,LOTR1,LOTR3,LOTR4,LOTR7,LOTR9,LOTR10,MAAS1,MAAS2,MAAS3,MAAS4,MAAS5,MAAS6,MAAS7,MAAS8,MAAS9,MAAS10,MAAS11,MAAS12,MAAS13,MAAS14,MAAS15,Pill1,Pill2,Pill3,Cream1,Cream2,Cream3,Inj1,Inj2,Inj3,Acu1,Acu2,Acu3,Hom1,Hom2,Hom3,Reiki1,Reiki2,Reiki3
2679,23,female,applied psychology 3,student,,4,4,5,4,4,4,4,5,4,4,3,5,5,4,4,4,3,5,3,5,5,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3
1321,20,male,applied psychology,student,,4,3,5,4,5,5,4,5,4,3,4,2,2,3,1,3,5,6,1,3,3,5,5,5,5,5,5,5,5,5,4,3,5,1,1,1,3,3,3
1810,20,female,arts music ,student,,5,2,2,3,2,4,2,1,6,3,3,1,4,4,3,4,2,2,2,4,3,5,5,5,3,3,3,5,5,5,2,2,2,2,2,2,1,1,1
2069,22,male,arts  ,comis chef,,4,4,4,5,4,5,4,5,5,3,3,5,5,6,4,3,4,6,3,5,2,3,4,3,3,4,4,4,5,5,2,3,2,1,2,1,1,1,1
1991,19,female,arts  ,student,,2,1,4,1,1,3,6,2,5,6,5,2,3,5,5,5,4,6,1,5,6,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,3,3,3
6543,20,female,computor science,student,,2,3,4,3,3,4,5,3,6,3,5,6,5,5,3,5,2,5,5,5,6,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4
2198,18,female,arts  ,student,,2,5,4,1,1,2,4,6,3,4,4,5,6,4,5,4,3,5,2,4,5,5,4,4,4,3,3,5,4,4,4,3,3,2,1,1,2,1,1
854,20,male,arts  ,student,,4,3,3,4,3,2,2,3,4,2,3,5,4,5,2,2,4,6,4,5,3,5,4,4,4,4,3,5,4,5,3,3,3,3,3,2,2,2,3
7787,19,female,arts  ,student,,2,4,4,4,4,3,2,5,2,5,3,2,3,3,3,4,5,4,2,3,2,4,4,5,4,4,5,5,4,5,2,3,2,3,4,4,4,2,2
5456,19,female,arts  ,student,,4,3,5,5,5,5,5,3,2,1,1,1,1,2,1,3,3,4,4,4,5,3,3,3,2,2,3,5,5,5,2,2,2,1,1,1,2,2,2
7,21,male,arts  ,student,,4,1,5,4,2,4,3,2,3,2,2,3,3,3,3,2,3,4,2,2,4,4,4,3,2,2,1,4,4,3,1,1,1,1,1,1,1,1,1
4228,23,female,medicine,student,,5,5,4,5,3,5,5,5,4,4,5,6,4,5,5,3,3,5,4,5,5,4,4,4,4,4,3,5,5,5,3,3,2,1,1,1,2,2,1
5440,20,male,commerse,student,,3,5,5,4,5,5,4,6,2,2,5,2,4,5,2,4,4,6,1,4,5,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5
1991,19,male,science,student,,3,4,3,4,5,4,2,6,5,3,2,3,3,5,3,4,2,5,2,3,3,2,3,2,3,3,3,4,3,3,1,1,1,1,1,1,1,1,1
606,19,female,dentistry,student,,2,2,2,5,4,3,5,6,6,5,5,1,5,5,5,5,5,6,3,4,6,4,3,3,4,4,4,5,5,5,5,4,4,2,2,2,1,1,1
6691,22,female,nursing,student,,4,3,5,3,4,5,3,5,5,5,5,4,3,3,5,5,4,5,5,5,6,2,2,2,2,2,2,3,3,2,2,3,2,2,3,3,2,2,3
1923,33,male,scocial science,student,,4,4,4,5,5,5,3,6,6,4,4,6,6,5,4,5,4,6,2,5,6,3,3,3,2,1,1,5,4,4,3,2,1,2,1,1,1,1,1
1748,19,female,medicine,student,,4,4,4,4,4,5,2,4,4,6,5,3,4,3,5,4,2,5,1,4,2,5,5,5,5,4,5,5,4,5,4,3,4,4,3,4,3,3,4
2610,20,male,physics,student,,4,4,2,4,4,4,3,6,2,6,5,1,5,5,4,5,3,6,3,4,5,4,3,3,3,3,3,5,5,4,3,3,3,2,3,3,3,3,3
1011,21,male,bis,student,,4,3,4,4,4,4,4,6,5,2,3,2,4,4,6,4,4,6,2,4,6,1,1,1,1,1,1,3,3,3,2,2,2,2,2,2,1,1,1
1224,20,male,commerse,student,,4,3,5,4,4,4,4,3,3,1,5,2,2,3,5,4,5,6,3,2,5,4,5,5,3,4,4,2,4,3,1,2,1,1,1,1,1,1,1
1212,19,male,science,student,,2,3,4,3,4,4,6,6,5,5,6,3,5,6,5,6,5,6,5,5,5,4,4,4,3,3,3,4,4,4,3,3,3,2,2,2,2,2,2
1617,22,male,computor science,butcher,,4,2,5,5,5,5,5,5,6,3,4,4,5,5,3,4,2,3,3,5,6,4,4,3,1,1,1,4,4,4,3,3,3,1,1,1,3,3,3
1209,20,female,arts  ,student,,2,5,5,4,5,5,6,4,6,5,6,1,5,6,4,6,4,6,6,6,6,4,2,4,2,3,1,3,2,2,5,5,5,4,3,2,2,2,2
