;"GSR.1703";"BP.1703";"VAS.1703"
"1";25.838995;107.4132;-0.0276016666666667
"2";9.70191166666667;43.0492;-0.0240066666666667
"3";14.9471533333333;20.5332;-0.0242566666666667
"4";15.8229716666667;33.0651;-0.0264366666666667
"5";19.3612883333333;18.3277;-0.0261016666666667
"6";19.5051216666667;18.2078;-0.0261933333333333
"7";20.0101666666667;7.7613;-0.02467
"8";17.4677666666667;-4.6289;-0.32583
"9";20.6617383333333;16.7865;-0.595591666666667
"10";18.847255;0.388899999999999;-0.665261666666667
"11";22.2587183333333;8.5218;-0.774908333333333
"12";24.8191338028169;-6.1424;-0.916018309859155
