"Me","Improving","Them","Participant","Worse","BlockTime","Theirs","Failing","Mine","Sad","Better","Disimproving","Myself","Succeeding","Time","Date","Themselves","Correct","Block","Happy"
715,820.5,761.666666667," 8206",625," 31391",825.666666667,924,980,1730,564,957.666666667,565,1019.8," 14:25:03","30/03/2011",927.5,34,"Block 5:",973
523,"NA",821.666666667," 8273","NA"," 8431",852,"NA",703,"NA","NA","NA",493,"NA"," 14:17:48","25/01/2011",723,12,"Block 1:","NA"
"NA",516,"NA"," 8273",519," 9477","NA",489,"NA",534.5,1942,618.5,"NA",552," 14:17:48","25/01/2011","NA",12,"Block 2:",605.5
529.666666667,1311.66666667,3185," 8273",529.5," 26493",593.666666667,584,722,567,545.666666667,603,583.333333333,929," 14:17:48","25/01/2011",531,36,"Block 3:",559.333333333
788.5,"NA",860.5," 8273","NA"," 11112",688.333333333,"NA",417.5,"NA","NA","NA",2787,"NA"," 14:17:48","25/01/2011",1063.5,11,"Block 4:","NA"
531.5,800.666666667,594," 8273","NA"," 30140",795.833333333,1188.25,626.333333333,552,1031.33333333,666,841,1238," 14:17:48","25/01/2011",934.666666667,35,"Block 5:",763.333333333
1060.5,"NA",2441.33333333," 8421","NA"," 16781",1527,"NA",1036.5,"NA","NA","NA",720,"NA"," 15:20:56","28/03/2011",1005.33333333,12,"Block 1:","NA"
"NA",877,"NA"," 8421",1183," 12066","NA","NA","NA",743,1021.33333333,1116,"NA",858," 15:20:56","28/03/2011","NA",12,"Block 2:","NA"
833,2217,1360.5," 8421",1565," 47596",767.5,"NA",1060.33333333,1494.25,3835,1268.16666667,1197.5,892.666666667," 15:20:56","28/03/2011",1818,33,"Block 3:",817
1218,"NA",564," 8421","NA"," 10331",741,"NA",687,"NA","NA","NA",674.5,"NA"," 15:20:56","28/03/2011",910.8,12,"Block 4:","NA"
872.333333333,1111,692.4," 8421",738," 44519",813,1412,1793,1583.75,"NA",1624.66666667,667,2385," 15:20:56","28/03/2011",1455.5,32,"Block 5:",1036
"NA","NA",711," 8888","NA"," 7835",585.75,"NA",797.5,"NA","NA","NA",614.333333333,"NA"," 11:17:59","25/03/2011",671.5,12,"Block 1:","NA"
"NA",728.5,"NA"," 8888",536," 9288","NA",1380,"NA",693,522.5,"NA","NA",795," 11:17:59","25/03/2011","NA",12,"Block 2:",654.5
520,663,713," 8888",722.5," 29310",553.5,780.25,771.833333333,1073.6,483,894,562,"NA"," 11:17:59","25/03/2011",1971.5,36,"Block 3:","NA"
539,"NA",765," 8888","NA"," 7420",605,"NA",500,"NA","NA","NA",492,"NA"," 11:17:59","25/03/2011",620,12,"Block 4:","NA"
494,952.333333333,644," 8888",552," 29202",628,586.5,569,1085.83333333,1095.5,649,770,965," 11:17:59","25/03/2011",666.333333333,35,"Block 5:",896.333333333
978.5,"NA",2085," 9120","NA"," 14800",814.666666667,"NA",3305,"NA","NA","NA",755,"NA"," 10:16:58","16/02/2011",1372,12,"Block 1:","NA"
"NA","NA","NA"," 9120",596," 10104","NA",751.333333333,"NA","NA",806,"NA","NA",1179," 10:16:58","16/02/2011","NA",12,"Block 2:",826
1121.5,710.2,790.666666667," 9120","NA"," 30827",595.5,1063.5,735.333333333,816.5,770.333333333,847.5,815.25,895.666666667," 10:16:58","16/02/2011",1356,36,"Block 3:",741
1993,"NA","NA"," 9120","NA"," 13629",749,"NA",1022.33333333,"NA","NA","NA",1130.66666667,"NA"," 10:16:58","16/02/2011",937,11,"Block 4:","NA"
609,1441.33333333,1485.66666667," 9120","NA"," 46262",2088,"NA",816,"NA",1053,863.333333333,739.6,1547," 10:16:58","16/02/2011",1600,36,"Block 5:",1856
596,"NA",1288," 9548","NA"," 12287",1608,"NA",677,"NA","NA","NA",648.5,"NA"," 15:17:28","12/04/2011",860.5,11,"Block 1:","NA"
"NA",675,"NA"," 9548",944," 9260","NA",883.5,"NA",694,"NA","NA","NA",701," 15:17:28","12/04/2011","NA",12,"Block 2:",647.75
628.4,681,1275.5," 9548",675," 30185",1052,859.5,826.4,729.5,901.5,"NA",1001,765.75," 15:17:28","12/04/2011",1021.5,34,"Block 3:",892.5
732,"NA",543," 9548","NA"," 9692",461,"NA",495,"NA","NA","NA",963,"NA"," 15:17:28","12/04/2011",1348,11,"Block 4:","NA"
1210.66666667,1136,1054.75," 9548","NA"," 40415",1710,1554.75,1136,1054.5,1133.25,2088,875.6,721.666666667," 15:17:28","12/04/2011","NA",34,"Block 5:",963.6
676,"NA",590.75," 9782","NA"," 8055",853.666666667,"NA",857,"NA","NA","NA",579,"NA"," 15:14:34","11/04/2011",509.5,12,"Block 1:","NA"
"NA",1447,"NA"," 9782",597," 8390","NA",850.5,"NA",584,"NA",644,"NA",491," 15:14:34","11/04/2011","NA",11,"Block 2:","NA"
634,1047.5,560," 9782",575.5," 27430",544.666666667,637.333333333,637,772.5,703,741.5,1587.33333333,690," 15:14:34","11/04/2011",705.25,33,"Block 3:",633.5
513.5,"NA",642.5," 9782","NA"," 11483",1595,"NA",917,"NA","NA","NA",1517,"NA"," 15:14:34","11/04/2011",876.666666667,12,"Block 4:","NA"
715.6,2004,897," 9782",1388," 38131",958.4,1165.33333333,889.25,927,1252.66666667,821,769,784," 15:14:34","11/04/2011",904.666666667,32,"Block 5:",840
566,"NA",558.5," 9853","NA"," 8192",725.25,"NA",525.5,"NA","NA","NA",620,"NA"," 15:31:25","25/03/2011",1371,12,"Block 1:","NA"
"NA",1037,"NA"," 9853",915," 12997","NA","NA","NA",719,685,1104.66666667,"NA",1576.66666667," 15:31:25","25/03/2011","NA",12,"Block 2:",682
942,935,684.6," 9853",913," 36703",546.8,"NA",718,1226,813,1433.5,812,2884," 15:31:25","25/03/2011",671.5,35,"Block 3:",1817.66666667
549.5,"NA",784," 9853","NA"," 9478",1283,"NA",969.5,"NA","NA","NA",464,"NA"," 15:31:25","25/03/2011",743,12,"Block 4:","NA"
945.25,1108.66666667,702," 9853",1502," 38032",659,912,620,1263,1278,1446.8,664.6,914.8," 15:31:25","25/03/2011",1302.33333333,35,"Block 5:",1085.5
754,"NA",962.5," 9876","NA"," 10400",683.666666667,"NA",751,"NA","NA","NA",997,"NA"," 11:08:40","28/01/2011",1087,12,"Block 1:","NA"
"NA",651,"NA"," 9876",687.666666667," 12082","NA",863.333333333,"NA",736,2023.5,1344,"NA","NA"," 11:08:40","28/01/2011","NA",12,"Block 2:","NA"
1047,962.8,665.5," 9876","NA"," 30398",768.333333333,773,754,1217,826,1077.5,707,742," 11:08:40","28/01/2011",840.5,35,"Block 3:",754.666666667
812,"NA",676.666666667," 9876","NA"," 9155",688,"NA",620.666666667,"NA","NA","NA",592,"NA"," 11:08:40","28/01/2011",1057,12,"Block 4:","NA"
775.555555556,1959,1023.5," 9876",1413.25," 45333",1018,"NA",983.333333333,1945,853,3059.66666667,929,861," 11:08:40","28/01/2011","NA",35,"Block 5:",1186.5
1154,"NA",565," 9876","NA"," 7104",558.666666667,"NA",439,"NA","NA","NA",573.333333333,"NA"," 13:21:59","25/03/2011",516.666666667,12,"Block 1:","NA"
"NA",555,"NA"," 9876",629.5," 9523","NA",687.5,"NA","NA",1496,804,"NA",568," 13:21:59","25/03/2011","NA",12,"Block 2:",701
652.5,990,682.666666667," 9876",957," 36743",2720,775,721.5,1027,1142,930.333333333,836,1334.66666667," 13:21:59","25/03/2011",906.5,35,"Block 3:","NA"
579,"NA",983," 9876","NA"," 10643",1226,"NA",577.5,"NA","NA","NA",730,"NA"," 13:21:59","25/03/2011","NA",12,"Block 4:","NA"
844.2,779,1860," 9876",1354," 36666","NA",589.5,837.75,"NA",793.5,666,765.333333333,1602," 13:21:59","25/03/2011",743.333333333,34,"Block 5:",927.5
975,"NA",994,"1089","NA"," 13801",1520.75,"NA",835,"NA","NA","NA",649,"NA"," 14:20:01","24/01/2011",1218,12,"Block 1:","NA"
"NA",644,"NA","1089",1113," 11373","NA",682.666666667,"NA",1851,1029.66666667,"NA","NA",1077," 14:20:01","24/01/2011","NA",12,"Block 2:",907
1074.4,"NA",791.5,"1089",1168.75," 36884",659.5,632.8,682.5,1227.2,715.333333333,"NA",1791,692," 14:20:01","24/01/2011",1089.33333333,34,"Block 3:","NA"
1110.66666667,"NA","NA","1089","NA"," 11865",965.5,"NA",877.5,"NA","NA","NA",1138,"NA"," 14:20:01","24/01/2011",889,11,"Block 4:","NA"
856,766,1167,"1089",1282," 43035",1150.75,1271.5,1255,1107.66666667,3193,1187.5,942,934.5," 14:20:01","24/01/2011",1004.5,32,"Block 5:",859.333333333
453,"NA",969,"9091","NA"," 9123",618.333333333,"NA",909.2,"NA","NA","NA",542,"NA"," 14:32:21","03/02/2011",758,12,"Block 1:","NA"
"NA",901.5,"NA","9091",571.5," 9024","NA","NA","NA","NA",598,616,"NA",609," 14:32:21","03/02/2011","NA",12,"Block 2:",1207
939.2,944,796.333333333,"9091",600.666666667," 26471",587.5,759.333333333,578.666666667,676.5,1596,629.666666667,632,548," 14:32:21","03/02/2011",709,36,"Block 3:","NA"
487,"NA",518,"9091","NA"," 7934",988.333333333,"NA",602.5,"NA","NA","NA",518,"NA"," 14:32:21","03/02/2011","NA",12,"Block 4:","NA"
657.666666667,1362,2373.66666667,"9091",1310," 41194",598.833333333,1980,1023,1085,785.5,"NA",1490,544," 14:32:21","03/02/2011",913.6,32,"Block 5:",1475.5
