"Gender","Age","UGPG","Year","College","Pill1","Pill2","Pill3","Pill4","Pill5","Pill6","Cream1","Cream2","Cream3","Cream4","Cream5","Cream6","Inj1","Inj2","Inj3","Inj4","Inj5","Inj6","Acu1","Acu2","Acu3","Acu4","Acu5","Acu6","PillTot","CreamTot","InjTot","AcuTot"
"Female",20,"Undergrad",2,"Arts",3,4,4,4,4,4,2,3,2,3,3,3,4,4,4,4,4,4,1,3,2,4,4,4,23,16,24,18
"Female",42,"Postgraduate",2,"SEFS",5,4,5,4,5,5,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,28,23,30,30
"Male",20,"Undergrad",3,"Arts",2,5,2,5,1,1,4,4,4,4,4,4,1,5,1,5,1,1,4,3,3,3,3,3,16,24,14,19
"Female",19,"Undergrad",2,"Arts",4,3,3,3,4,3,4,2,2,,3,4,3,2,3,3,4,3,4,4,4,4,4,4,20,15,18,24
"Female",18,"Undergrad",1,"Medicine & Health",3,4,2,4,4,4,3,3,3,3,3,3,5,5,4,5,5,5,2,3,1,3,3,3,21,18,29,15
"Male",20,"Undergrad",2,"Arts",4,5,4,5,5,5,4,5,4,5,5,5,4,5,4,5,5,5,2,2,2,2,2,2,28,28,28,12
"Female",19,"Undergrad",1,"Arts",4,4,4,4,5,5,2,3,1,1,1,1,5,5,5,5,5,,1,1,1,1,1,1,26,9,25,6
"Female",19,"Undergrad",2,"Bus & Law",5,4,3,4,4,4,3,4,3,4,4,4,5,5,4,4,5,5,2,1,1,2,1,1,24,22,28,8
"Female",20,"Undergrad",3,"Arts",4,4,4,4,4,4,3,4,2,2,2,3,4,4,4,4,4,4,3,3,3,3,3,3,24,16,24,18
"Female",22,"Undergrad",4,"Arts",2,2,2,2,2,2,1,1,1,1,1,1,4,4,3,2,3,3,1,1,1,1,1,1,12,6,19,6
"Female",18,"Undergrad",1,"Arts",4,4,3,4,4,4,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,23,13,30,30
"Male",43,"Undergrad",1,"Medicine & Health",1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,6,6,0,0
"Female",18,"Undergrad",1,"Medicine & Health",4,5,5,4,4,4,4,3,4,3,4,4,5,5,4,5,4,,2,3,3,3,3,3,26,22,23,17
"Female",22,"Undergrad",4,"Arts",4,2,2,3,4,3,4,2,2,3,4,3,4,3,2,3,3,3,2,2,2,3,3,3,18,18,18,15
"Male",21,"Undergrad",2,"Arts",5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,2,2,1,2,1,1,30,24,30,9
"Female",38,"Undergrad",2,"Medicine & Health",5,5,5,4,4,4,5,4,5,4,4,4,5,5,,5,4,5,5,4,4,4,4,4,27,26,24,25
"Female",29,"Undergrad",2,"Medicine & Health",4,4,4,4,3,3,5,4,4,4,4,4,4,5,4,5,5,4,5,5,5,5,5,5,22,25,27,30
"Male",19,"Undergrad",1,"Arts",4,5,4,4,4,4,4,4,3,2,2,4,5,5,5,5,5,4,2,2,1,1,1,2,25,19,29,9
"Female",48,"Undergrad",3,"Medicine & Health",5,5,3,5,4,5,5,5,5,4,4,4,5,5,5,5,5,5,4,4,4,4,4,2,27,27,30,22
"Male",18,"Undergrad",1,"Bus & Law",1,2,1,3,2,1,2,3,2,2,2,3,2,3,,2,2,3,3,4,3,3,3,3,10,14,12,19
"Male",41,"Undergrad",2,"Bus & Law",4,5,4,5,4,4,4,5,3,4,4,4,4,5,4,5,4,4,4,5,3,4,4,4,26,24,26,24
"Female",19,"Undergrad",2,"Bus & Law",5,5,5,5,5,5,4,4,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,30,20,23,24
"Male",24,"Postgraduate",5,"Bus & Law",4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,23,23,23,23
"Male",18,"Undergrad",1,"Arts",4,4,1,1,1,2,4,4,1,1,1,2,4,4,1,1,1,2,4,4,1,1,1,2,13,13,13,13
