PP.No,Block, Them,Theirs,Themselves,Me,Myself,Mine, Disimproving,Sad,Failing,Worse,Succeeding,Happy,Improving,Better,Block.Time,Ntrials,OptSelf,OptOther,PessSelf,PessOther,MeanDiffOpt,Sd,PooledSd,DIAT,LOTR Total,Age,Gender
3278,2,NA,NA,NA,NA,NA,NA,1544,NA,1156.33,6570.5,1021,1189,2546.5,1687,28165,12,NA,NA,NA,NA,NA,1974.93,NA,NA,NA,NA,NA
3278,3,2168.2,802,3352,1049,2693,1428.67,NA,NA,3674.33,2318,NA,1047,1176.25,1597,47080,24,1273.42,NA,NA,2996.17,639.71,980.42,1322.83,0.48,2.83,19,Female
3278,4,758,1100.67,2402.25,2163.5,NA,1619,NA,NA,NA,NA,NA,NA,NA,NA,21234,12,NA,NA,NA,NA,NA,692.71,NA,NA,NA,NA,NA
3278,5,925,NA,4417,6544.5,1401.5,NA,2420.33,895.5,1516,2861,914,2761,1712.5,2265,63710,24,NA,1913.13,1923.21,NA,NA,1665.23,NA,NA,NA,NA,NA
4567,1,6700,1813.5,1791,1560.5,1424,745,NA,NA,NA,NA,NA,NA,NA,NA,34023,12,NA,NA,NA,NA,NA,2171.58,NA,NA,NA,NA,NA
4567,2,NA,NA,NA,NA,NA,NA,2053,1116,796.5,NA,823,763.5,2820,755.67,13315,12,NA,NA,NA,NA,NA,814.08,NA,NA,NA,NA,NA
4567,3,2574,1390,713,1116,2032,1484,NA,NA,1799,961,1686,1373,1025,1217.33,36320,24,1325.33,NA,NA,1380,53.67,515.12,718.28,0.07,4.33,19,Female
4567,4,3345.5,880,780,1230,NA,1425.5,NA,NA,NA,NA,NA,NA,NA,NA,18973,12,NA,NA,NA,NA,NA,1046.65,NA,NA,NA,NA,NA
4567,5,3642,1637.5,1286.5,933,1296,1680,NA,1906.67,,3514.5,1710,NA,944,1483,41691,24,NA,1379,2710.59,NA,NA,921.44,NA,NA,NA,NA,NA
5963,1,5214,3223,3433.5,1863.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41412,12,NA,NA,NA,NA,NA,1375.98,NA,NA,NA,NA,NA
5963,2,NA,NA,NA,NA,NA,NA,1127,1498.5,NA,874,1818,934,715,656.67,10736,12,NA,NA,NA,NA,NA,427.71,NA,NA,NA,NA,NA
5963,3,2274,794,705,1124,872,1441,1260,980,580,1081,NA,1128.5,1011.33,3585,36820,24,1908.28,NA,NA,975.25,-247.11,806.06,877.65,-0.28,3.33,20,Female
5963,4,NA,3818,1061.2,612,894,912,NA,NA,NA,NA,NA,NA,NA,NA,14260,12,NA,NA,NA,NA,NA,1328.44,NA,NA,NA,NA,NA
5963,5,1885.33,4118,NA,NA,1003,1770,1942.75,1641.5,845,1497,1770,2972,1085.67,817,44243,24,NA,1661.17,1481.56,NA,NA,949.24,NA,NA,NA,NA,NA
8507,1,NA,2246,2040,5447,1510.33,5427.33,NA,NA,NA,NA,NA,NA,NA,NA,40073,12,NA,NA,NA,NA,NA,1938.48,NA,NA,NA,NA,NA
8507,2,NA,NA,NA,NA,NA,NA,1255,NA,2132,1180.33,730.5,NA,1073,1727,15716,12,NA,NA,NA,NA,NA,500.39,NA,NA,NA,NA,NA
8507,3,1913.5,1857.67,1832,NA,2083,NA,880,NA,1020,1114,2778,1069,1434.5,1816.5,37360,24,1774.5,NA,NA,1004.67,1200.38,572.99,1313.59,0.91,2.5,19,Female
8507,4,1100,711,997,629.25,1216,1298.75,NA,NA,NA,NA,NA,NA,NA,NA,11736,12,NA,NA,NA,NA,NA,270.74,,,,,
8507,5,2785.5,2016.33,834,6995,882,937.5,1868.8,1441,4345,1785.5,6793,2406,1470,1230.5,54037,24,NA,2974.88,2360.08,NA,NA,2054.2,,,,,
